product_name,serving_size,carbohydrates_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,Total fat,fat_100g,final_fat,fiber_100g,proteins_100g,vitamin-a_100g,vitamin-c_100g,vitamin-e_100g,"Total Vitamin A, C, E",sugars_100g
chicken breast,283 g (10 ONZ),30.46,4.81, -   , -   ,4.81,22.47,22.47,4.99,65.78,0,0.01, -   ,0.01,8.04
salmon,150 g (1 FILLET | ABOUT),18.16,9.08, -   , -   ,9.08,48.44,48.44, -   ,87.76,0,0.02, -   ,0.02,15.12
beef,85 g (3 ONZ), -   ,18.7, -   , -   ,18.7,26.7,26.7, -   ,90.8, -   , -   , -   , -   , -   
chia seeds,15 g (3 Tbsp),181.6, -   , -   , -   , -   ,136.2,136.2,181.6,90.8, -   , -   , -   , -   , -   
spinach,115 g (0.5 cup),11.85, -   , -   , -   , -   , -   , -   ,11.8,11.85,0.01,0.06, -   ,0.07, -   
cottage cheese,113 g (0.5 cup),48.21,6.04, -   , -   ,6.04,8.04,8.04, -   ,44.17,0,0.01, -   ,0.01,40.18
lentils,45 g (0.25 cup),292.56, -   , -   , -   , -   , -   , -   ,50.39,110.96, -   ,0.02, -   ,0.02,10.08
white bread,40 g (40 g),238.35, -   , -   , -   , -   ,22.7,22.7,22.7,34.05, -   , -   , -   , -   ,22.7
ice cream (ch),66 g (66 g),130.71,41.27, -   , -   ,41.27,75.68,75.68,6.81,20.66,0, -   , -   ,0,116.95
eggs,38 g (1 EGG),11.94,11.94, -   , -   ,11.94,47.81,47.81, -   ,59.75,0, -   , -   ,0, -   
zucchini,100 g (100 GRAMS) | (),13.62, -   , -   , -   , -   , -   , -   ,4.54,4.54,0,0.08, -   ,0.08,9.08
oats,58 g (1 cup),367.88,7.81,11.76,7.81,27.38,27.38,27.38,31.33,39.13,0, -   , -   ,0,101.74
carrots,113 g (113 g),36.14, -   , -   , -   , -   , -   , -   ,8.17,4,0, -   , -   ,0,20.07
greek yogurt,43 g (1.5 OZ NET),31.69,10.58,47.53,21.11,79.22,84.44,84.44, -   ,31.69, -   ,0.01, -   ,0.01,10.58
fuji apples,154 g (1 MEDIUM APPLE),64.88, -   , -   , -   , -   , -   , -   ,14.53, -   ,0,0.01, -   ,0.01,47.17
snickers mini,18 g,274.67,35.87, -   , -   ,35.87,102.15,102.15, -   ,39.04, -   , -   , -   , -   ,235.17
avocados,90g,8.63,18.61,54.93,9.99,83.54,88.53,88.53,15.44,8.63, -   , -   ,0.01,0.01,2.27
cookies (ch),33 g (2 COOKIES),288.93,61.93,41.27,13.76,116.95,123.81,123.81,13.62,13.76, -   , -   , -   , -   ,137.56
mushrooms,130 g (0.5 cup),10.49, -   , -   , -   , -   , -   , -   ,6.81,10.49, -   ,0, -   ,0, -   
broccoli florets,85 g (4 FLORETS),21.38, -   , -   , -   , -   , -   , -   ,10.9,5.36,0,0.16, -   ,0.16,10.67
brown rice,,103.51,0.91, -   , -   ,0.91,4.99,4.99,9.53,15.44, -   , -   , -   , -   ,2.27
turkey,269 g (0.5 SUB),80.99,10.12, -   , -   ,10.12,20.25,20.25,6.81,70.87,0,0.01, -   ,0.01,5.08
potato chip,39 g (1 BAG),221.19,16.3, -   , -   ,16.3,162.99,162.99,19.98,34.91, -   ,0.08, -   ,0.08, -   
anchovies,100 g (100 g),0.91,4.09, -   , -   ,4.09,26.79,26.79, -   ,90.8,0, -   , -   ,0, -   
"albertsons/safeway, oven baked cookies, chocolate chip",28 g (1 COOKIE),275.62,24.33, -   , -   ,24.33,81.08,81.08,16.34,16.21, -   , -   , -   , -   ,162.12
"albertsons, fat free milk",240 ml (1 cup),24.61, -   , -   , -   , -   , -   , -   , -   ,15.12,0,0, -   ,0,22.7
"albrecht's delafield market, milk chocolate double dipped peanuts",28 g (0.25 CUP),259.42,81.08, -   , -   ,81.08,145.92,145.92,16.34,32.42, -   , -   , -   , -   ,227
"2% reduced fat milk, chocolate",240 ml (1 cup),45.4,5.68, -   , -   ,5.68,9.44,9.44,1.82,15.12,0,0, -   ,0,43.49
2% reduced fat local milk,240 ml (8 fl oz),24.61,5.68, -   , -   ,5.68,9.44,9.44, -   ,17.03,0,0, -   ,0,22.7
2% reduced fat local milk,240 ml (8 fl oz),24.61,5.68, -   , -   ,5.68,9.44,9.44, -   ,17.03,0,0, -   ,0,22.7